qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category
32,2m_temperature,2000-01-01 00:00:00,2010-12-31 23:00:00,24,49,-61,-1,1.0,day,mean,10,100,changing_spatial_res
33,2m_temperature,2002-01-01 00:00:00,2012-12-31 23:00:00,61,86,35,95,0.25,hour,mean,10,100,changing_temporal_res
34,2m_temperature,1998-01-01 00:00:00,2008-12-31 23:00:00,9,34,-167,-107,0.25,hour,mean,10,100,changing_temporal_res
35,2m_temperature,1996-01-01 00:00:00,2006-12-31 23:00:00,56,81,54,114,0.25,hour,mean,10,100,changing_temporal_res
36,2m_temperature,2008-01-01 00:00:00,2018-12-31 23:00:00,-27,-2,-171,-111,0.25,day,mean,10,100,changing_temporal_res
37,2m_temperature,2000-01-01 00:00:00,2010-12-31 23:00:00,-40,-15,19,79,0.25,day,mean,10,100,changing_temporal_res
38,2m_temperature,2004-01-01 00:00:00,2014-12-31 23:00:00,-52,-27,59,119,0.25,day,mean,10,100,changing_temporal_res
39,2m_temperature,2003-01-01 00:00:00,2013-12-31 23:00:00,-53,-28,91,151,0.25,month,mean,10,100,changing_temporal_res
40,2m_temperature,1997-01-01 00:00:00,2007-12-31 23:00:00,12,37,-79,-19,0.25,month,mean,10,100,changing_temporal_res
41,2m_temperature,1998-01-01 00:00:00,2008-12-31 23:00:00,-46,-21,-2,58,0.25,month,mean,10,100,changing_temporal_res
42,2m_temperature,1999-01-01 00:00:00,2009-12-31 23:00:00,61,86,-87,-27,0.25,year,mean,10,100,changing_temporal_res
43,2m_temperature,2009-01-01 00:00:00,2019-12-31 23:00:00,41,66,-155,-95,0.25,year,mean,10,100,changing_temporal_res
44,2m_temperature,2007-01-01 00:00:00,2017-12-31 23:00:00,-34,-9,-57,3,0.25,year,mean,10,100,changing_temporal_res
