qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_series_aggregation_method,filter_predicate,filter_value,time_span,category,execution_time
28,2m_temperature,2011-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,mean,>,205,10.0,changing_value,33.913066387176514
29,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,mean,<,205,10.0,changing_value,33.68520784378052
30,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,min,>,240,10.0,changing_value,24.380932569503784
31,2m_temperature,2007-01-01 00:00:00,2016-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,min,<,240,10.0,changing_value,24.403144598007202
32,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,max,>,240,10.0,changing_value,24.198601245880127
33,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,max,<,240,10.0,changing_value,24.315352201461792
34,2m_temperature,2007-01-01 00:00:00,2016-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,mean,>,240,10.0,changing_value,33.654491901397705
35,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,mean,<,240,10.0,changing_value,33.63876914978027
36,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,min,>,275,10.0,changing_value,24.098597288131714
37,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,min,<,275,10.0,changing_value,24.043360710144043
38,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,max,>,275,10.0,changing_value,24.410780906677246
39,2m_temperature,2010-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,max,<,275,10.0,changing_value,24.445286750793457
40,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,mean,>,275,10.0,changing_value,33.15851593017578
41,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,mean,<,275,10.0,changing_value,33.571128368377686
42,2m_temperature,2010-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,min,>,310,10.0,changing_value,24.113908052444458
43,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,min,<,310,10.0,changing_value,24.170709133148193
44,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,max,>,310,10.0,changing_value,23.79963254928589
45,2m_temperature,2010-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,max,<,310,10.0,changing_value,24.090367078781128
46,2m_temperature,2008-01-01 00:00:00,2017-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,mean,>,310,10.0,changing_value,33.26567530632019
47,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,mean,<,310,10.0,changing_value,33.30018472671509
