qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_series_aggregation_method,filter_predicate,filter_value,time_span,area_persent,category,execution_time
25,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,mean,>,240,5.0,100,changing_value,19.121318817138672
26,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,mean,>,275,5.0,100,changing_value,19.223594188690186
27,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,mean,<,205,5.0,100,changing_value,19.13126802444458
28,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,mean,<,240,5.0,100,changing_value,19.245973825454712
29,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,mean,<,275,5.0,100,changing_value,19.253413200378418
30,2m_temperature,2011-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,hour,min,min,>,310,10.0,100,changing_time,29.428085565567017
31,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,60,85,-70,-10,1.0,hour,min,min,<,310,10.0,100,changing_time,109.11415719985962
32,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,hour,max,max,>,310,10.0,100,changing_time,34.52527165412903
33,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,60,85,-70,-10,1.0,hour,max,max,<,310,10.0,100,changing_time,30.929694652557373
34,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,mean,>,310,10.0,100,changing_time,33.535972356796265
35,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,mean,<,310,10.0,100,changing_time,29.621861457824707
36,2m_temperature,2019-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,year,min,min,>,310,1.0,100,changing_time,3.94561767578125
37,2m_temperature,2020-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,year,min,min,<,310,1.0,100,changing_time,3.821204662322998
38,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,max,max,>,310,1.0,100,changing_time,3.8441081047058105
39,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,60,85,-70,-10,0.25,year,max,max,<,310,1.0,100,changing_time,3.936692714691162
40,2m_temperature,2022-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,mean,>,310,1.0,100,changing_time,7.6952667236328125
41,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,mean,<,310,1.0,100,changing_time,4.9917449951171875
42,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,85,-70,-10,0.25,year,min,min,>,310,2.5,100,changing_time,6.298198938369751
43,2m_temperature,2020-01-01 00:00:00,2022-06-30 23:00:00,60,85,-70,-10,0.25,year,min,min,<,310,2.5,100,changing_time,6.2097392082214355
44,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,60,85,-70,-10,0.25,year,max,max,>,310,2.5,100,changing_time,6.173892021179199
45,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,60,85,-70,-10,0.25,year,max,max,<,310,2.5,100,changing_time,6.21931004524231
46,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,60,85,-70,-10,0.25,year,mean,mean,>,310,2.5,100,changing_time,7.417722940444946
47,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,60,85,-70,-10,0.25,year,mean,mean,<,310,2.5,100,changing_time,7.294634819030762
48,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,year,min,min,>,205,5.0,100,changing_value,9.892685890197754
49,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,year,min,min,>,240,5.0,100,changing_value,9.897486925125122
50,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,0.25,year,min,min,>,275,5.0,100,changing_value,9.88282823562622
51,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,year,min,min,<,205,5.0,100,changing_value,10.027380228042603
52,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,year,min,min,<,240,5.0,100,changing_value,9.880881547927856
53,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,year,min,min,<,275,5.0,100,changing_value,9.922240018844604
54,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,year,max,max,>,205,5.0,100,changing_value,9.968371152877808
55,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,year,max,max,>,240,5.0,100,changing_value,9.873606443405151
56,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,0.25,year,max,max,>,275,5.0,100,changing_value,10.007381200790405
57,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,year,max,max,<,205,5.0,100,changing_value,9.949878931045532
58,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,year,max,max,<,240,5.0,100,changing_value,9.975980043411255
59,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,max,max,<,275,5.0,100,changing_value,9.895447015762329
60,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,mean,>,205,5.0,100,changing_value,11.0144784450531
61,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,mean,>,240,5.0,100,changing_value,11.170783281326294
62,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,mean,>,275,5.0,100,changing_value,11.082750082015991
63,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,mean,<,205,5.0,100,changing_value,11.082282543182373
64,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,mean,<,240,5.0,100,changing_value,11.089871406555176
65,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,mean,<,275,5.0,100,changing_value,11.086488246917725
66,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,year,min,min,>,310,10.0,100,changing_time,17.36376166343689
67,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,year,min,min,<,310,10.0,100,changing_time,17.502573013305664
68,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,60,85,-70,-10,0.25,year,max,max,>,310,10.0,100,changing_time,17.523773670196533
69,2m_temperature,2011-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,year,max,max,<,310,10.0,100,changing_time,17.456178426742554
70,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,mean,>,310,10.0,100,changing_time,18.73681378364563
71,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,mean,<,310,10.0,100,changing_time,18.803139686584473
72,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,60,85,-70,-10,1.0,year,min,min,>,310,1.0,100,changing_time,3.9054224491119385
73,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,60,85,-70,-10,1.0,year,min,min,<,310,1.0,100,changing_time,3.8390328884124756
74,2m_temperature,2020-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,year,max,max,>,310,1.0,100,changing_time,3.933955430984497
75,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,60,85,-70,-10,1.0,year,max,max,<,310,1.0,100,changing_time,3.9077959060668945
76,2m_temperature,2020-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,mean,>,310,1.0,100,changing_time,5.0273597240448
77,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,mean,<,310,1.0,100,changing_time,4.9822587966918945
78,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,60,85,-70,-10,1.0,year,min,min,>,310,2.5,100,changing_time,18.24656319618225
79,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,85,-70,-10,1.0,year,min,min,<,310,2.5,100,changing_time,6.171058654785156
80,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,60,85,-70,-10,1.0,year,max,max,>,310,2.5,100,changing_time,6.174476861953735
81,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,60,85,-70,-10,1.0,year,max,max,<,310,2.5,100,changing_time,6.213578939437866
82,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,85,-70,-10,1.0,year,mean,mean,>,310,2.5,100,changing_time,7.326352596282959
83,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,60,85,-70,-10,1.0,year,mean,mean,<,310,2.5,100,changing_time,7.404864549636841
84,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,year,min,min,>,205,5.0,100,changing_value,9.866286754608154
85,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,year,min,min,>,240,5.0,100,changing_value,9.97388768196106
86,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,year,min,min,>,275,5.0,100,changing_value,9.968766927719116
87,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,year,min,min,<,205,5.0,100,changing_value,9.837246417999268
88,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,year,min,min,<,240,5.0,100,changing_value,9.989741802215576
89,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,year,min,min,<,275,5.0,100,changing_value,9.736916542053223
90,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,year,max,max,>,205,5.0,100,changing_value,9.947838306427002
91,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,year,max,max,>,240,5.0,100,changing_value,9.961076974868774
92,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,year,max,max,>,275,5.0,100,changing_value,9.94521188735962
93,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,year,max,max,<,205,5.0,100,changing_value,9.998413562774658
94,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,year,max,max,<,240,5.0,100,changing_value,9.946679592132568
95,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,year,max,max,<,275,5.0,100,changing_value,10.017008066177368
96,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,mean,>,205,5.0,100,changing_value,11.0252206325531
97,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,mean,>,240,5.0,100,changing_value,11.127768516540527
98,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,mean,>,275,5.0,100,changing_value,11.24543571472168
99,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,mean,<,205,5.0,100,changing_value,11.090263843536377
100,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,mean,<,240,5.0,100,changing_value,11.071648836135864
101,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,mean,<,275,5.0,100,changing_value,11.026410341262817
102,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,60,85,-70,-10,1.0,year,min,min,>,310,10.0,100,changing_time,17.531797170639038
103,2m_temperature,2010-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,year,min,min,<,310,10.0,100,changing_time,17.33199644088745
104,2m_temperature,2007-01-01 00:00:00,2016-12-31 23:00:00,60,85,-70,-10,1.0,year,max,max,>,310,10.0,100,changing_time,17.455561876296997
105,2m_temperature,2011-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,year,max,max,<,310,10.0,100,changing_time,17.483376264572144
106,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,mean,>,310,10.0,100,changing_time,18.79317331314087
107,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,mean,<,310,10.0,100,changing_time,18.664226055145264
